Year,State,Region,Percentage
2005,South Dakota,Midwest,6.0
2005,Tennessee,South,8.8
2005,Texas,South,8.3
2005,Utah,West,6.4
2005,Vermont,Northeast,5.7
2005,Virginia,South,7.0
2005,Washington,West,6.3
2005,West Virginia,South,9.6
2005,Wisconsin,Midwest,6.3
2005,Wyoming,West,6.3
2006,Alabama,South,9.5
2006,Alaska,West,7.0
2006,Arizona,West,8.3
2006,Arkansas,South,7.7
2006,California,West,8.5
2006,Colorado,West,5.5
2006,Connecticut,Northeast,6.0
2006,Delaware,South,7.7
2006,District of Columbia,South,8.5
2006,Florida,South,7.6
2006,Georgia,South,9.7
2006,Hawaii,West,7.6
2006,Idaho,West,6.8
2006,Illinois,Midwest,8.1
2006,Indiana,Midwest,7.9
2006,Iowa,Midwest,6.7
2006,Kansas,Midwest,7.1
2006,Kentucky,South,9.5
2006,Louisiana,South,9.0
2006,Maine,Northeast,6.2
2006,Maryland,South,7.8
2006,Massachusetts,Northeast,6.2
2006,Michigan,Midwest,8.7
2006,Minnesota,Midwest,5.6
2006,Mississippi,South,10.6
2006,Missouri,Midwest,6.9
2006,Montana,West,5.8
2006,Nebraska,Midwest,7.1
2006,Nevada,West,7.6
2006,New Hampshire,Northeast,7.2
2006,New Jersey,Northeast,7.2
2006,New Mexico,West,7.0
2006,New York,Northeast,7.4
2006,North Carolina,South,9.0
2006,North Dakota,Midwest,6.3
2006,Ohio,Midwest,6.4
2006,Oklahoma,South,9.6
2006,Oregon,West,6.5
2006,Pennsylvania,Northeast,7.7
2006,Rhode Island,Northeast,7.2
2006,South Carolina,South,9.2
2006,South Dakota,Midwest,6.1
2006,Tennessee,South,10.3
2006,Texas,South,8.4
2006,Utah,West,6.7
2006,Vermont,Northeast,5.5
2006,Virginia,South,7.3
2006,Washington,West,7.0
2006,West Virginia,South,10.8
2006,Wisconsin,Midwest,6.0
2006,Wyoming,West,6.1
2007,Alabama,South,9.8
2007,Alaska,West,6.5
2007,Arizona,West,8.2
2007,Arkansas,South,8.8
2007,California,West,7.8
2007,Colorado,West,5.6
2007,Connecticut,Northeast,6.8
2007,Delaware,South,8.3
2007,District of Columbia,South,8.4
2007,Florida,South,7.7
2007,Georgia,South,10.7
2007,Hawaii,West,7.1
2007,Idaho,West,7.8
2007,Illinois,Midwest,8.7
2007,Indiana,Midwest,8.1
2007,Iowa,Midwest,6.2
2007,Kansas,Midwest,7.0
2007,Kentucky,South,9.4
2007,Louisiana,South,10.0
2007,Maine,Northeast,7.1
2007,Maryland,South,8.1
2007,Massachusetts,Northeast,7.1
2007,Michigan,Midwest,8.5
2007,Minnesota,Midwest,5.5
2007,Mississippi,South,10.9
2007,Missouri,Midwest,7.5
2007,Montana,West,6.1
2007,Nebraska,Midwest,6.8
2007,Nevada,West,8.0
2007,New Hampshire,Northeast,6.7
2007,New Jersey,Northeast,8.8
2007,New Mexico,West,7.5
2007,New York,Northeast,7.8
2007,North Carolina,South,8.9
2007,North Dakota,Midwest,5.8
2007,Ohio,Midwest,8.9
2007,Oklahoma,South,9.6
2007,Oregon,West,6.5
2007,Pennsylvania,Northeast,7.8
2007,Rhode Island,Northeast,6.8
2007,South Carolina,South,9.2
2007,South Dakota,Midwest,6.3
2007,Tennessee,South,11.5
2007,Texas,South,10.7
2007,Utah,West,6.7
2007,Vermont,Northeast,6.5
2007,Virginia,South,7.9
2007,Washington,West,7.0
2007,West Virginia,South,9.8
2007,Wisconsin,Midwest,6.1
2007,Wyoming,West,6.6
2008,Alabama,South,10.6
2008,Alaska,West,7.3
2008,Arizona,West,7.6
2008,Arkansas,South,8.9
2008,California,West,8.7
2008,Colorado,West,6.1
2008,Connecticut,Northeast,6.3
2008,Delaware,South,7.8
2008,District of Columbia,South,8.3
2008,Florida,South,8.4
2008,Georgia,South,10.2
2008,Hawaii,West,7.7
2008,Idaho,West,7.0
2008,Illinois,Midwest,8.2
2008,Indiana,Midwest,9.2
2008,Iowa,Midwest,6.4
2008,Kansas,Midwest,7.7
2008,Kentucky,South,9.4
2008,Louisiana,South,10.2
2008,Maine,Northeast,7.4
2008,Maryland,South,8.4
2008,Massachusetts,Northeast,6.8
2008,Michigan,Midwest,8.6
